food items,Calories,Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B6 (mg),Vitamin B9 (mcg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Omega-3 (mg),Omega-6 (mg),Sugar (g),Veg/Non-Veg,Category,Male/Female
Fish Curry with Rice,360,40,20,10,2,300,3,120,0.8,6,0.2,0.4,3,0.3,30,180,2.5,45,200,300,500,2.2,90,1000,1,Non-Vegetarian,Lunch,Male
Aloo Gobi with Paratha,330,48,8,12,6,250,7,0,0.3,8,0.1,0.2,1.5,0.2,35,120,2,40,150,200,450,1,20,500,2,Vegetarian,Lunch,Male
Egg Curry with Rice,350,40,14,12,3,400,5,80,1,6,0.2,0.3,2.5,0.2,45,150,2.3,50,180,320,600,2,70,1100,1,Non-Vegetarian,Lunch,Male
Palak Paneer with Roti,320,42,10,12,6,600,12,0,0.5,25,0.3,0.3,1.8,0.3,60,180,3,60,200,350,600,1.5,30,700,2,Vegetarian,Lunch,Male
Keema with Paratha,450,40,20,20,3,300,4,100,1.5,10,0.3,0.5,3,0.3,40,180,3.2,60,200,320,800,2.5,85,1200,1,Non-Vegetarian,Lunch,Male
Butter Chicken with Naan,500,45,20,22,3,500,4,120,1.5,8,0.3,0.4,3.5,0.3,40,180,2.5,60,230,340,800,2.4,80,1300,2,Non-Vegetarian,Dinner,Male
Prawn Curry with Rice,360,40,18,10,2,350,3,90,0.8,5,0.2,0.4,3.2,0.3,30,150,2.1,40,180,320,450,2,85,900,1,Non-Vegetarian,Dinner,Male
Malai Kofta with Jeera Rice,420,48,10,16,4,600,5,0,0.4,12,0.2,0.3,2.2,0.2,50,200,3,50,190,320,600,1.8,30,700,3,Vegetarian,Dinner,Male
Baked Fish with Grilled Vegies,350,20,25,12,5,300,6,120,1.2,9,0.2,0.4,4,0.3,35,180,2.4,55,200,340,200,2.6,95,1000,1,Non-Vegetarian,Dinner,Male
Mutton Curry with Paratha,490,38,22,22,3,400,4,100,1.5,10,0.3,0.5,3.8,0.3,45,180,3.2,60,210,350,700,2.8,90,1200,2,Non-Vegetarian,Dinner,Male
Paneer Tikka Masala with Roti,400,44,12,15,5,450,7,0,0.6,15,0.2,0.3,2.5,0.2,55,180,3,55,200,330,600,1.9,35,800,3,Vegetarian,Dinner,Male
Kadhi Pakora with Rice,330,50,8,8,3,300,6,0,0.2,5,0.1,0.2,1.5,0.1,20,120,2,30,110,200,550,1,20,450,2,Vegetarian,Dinner,Male
Chicken Stew with Appam,370,42,16,12,3,300,4,110,1,6,0.2,0.4,3,0.3,30,150,2.5,50,180,300,500,2.2,75,950,1,Non-Vegetarian,Dinner,Male
Bhindi Masala with Dal and Rice,320,48,10,8,6,400,10,0,0.3,8,0.1,0.2,1.5,0.2,40,120,2.8,40,160,300,400,1.2,30,500,3,Vegetarian,Dinner,Male
Gajar Matar Sabzi with Rotis,300,44,8,8,5,500,12,0,0.5,18,0.2,0.2,2,0.2,50,160,2.5,45,170,320,550,1.5,30,600,3,Vegetarian,Dinner,Male
Masala Oats with Milk and Nuts,350,50,12,12,6,400,2,100,1.5,8,0.3,0.4,3.5,0.2,40,180,2.5,60,230,340,320,2.1,95,1300,2,Vegetarian,Breakfast,Female
Idli with Coconut Chutney and Sambar,300,42,8,8,4,150,5,0,0.3,6,0.1,0.2,2.5,0.2,30,120,2,35,180,250,220,1.5,40,900,1,Vegetarian,Breakfast,Female
Upma with Mixed Vegetables,250,40,6,8,4,200,7,0,0.3,6,0.1,0.2,2,0.3,35,140,2.3,50,180,300,250,1.3,30,700,2,Vegetarian,Breakfast,Female
Poha with Peanuts and Boiled Eggs,350,45,18,15,6,350,5,0,0.5,7,0.2,0.3,2.5,0.3,40,160,2.5,55,210,340,320,2.2,30,1200,2,Non-Vegetarian,Breakfast,Female
Dalia (Broken Wheat) Khichdi with Vegies,280,48,8,6,5,350,7,0,0.4,8,0.3,0.3,3,0.2,30,180,2.5,50,200,300,250,1.5,25,500,2,Vegetarian,Breakfast,Female
Spinach Paratha with Curd,350,45,10,12,6,450,6,0,0.5,14,0.2,0.3,2,0.3,40,180,3,55,210,330,270,2.2,20,1000,2,Vegetarian,Breakfast,Female
Paneer and Vegetarianetable Stuffed Paratha,400,50,12,18,6,500,5,0,0.6,12,0.2,0.4,2.8,0.3,45,200,2.5,55,220,330,350,2,30,900,2,Vegetarian,Breakfast,Female
Chilla Made with Besan (Gram Flour) and Vegies,250,35,10,8,6,300,5,0,0.4,10,0.3,0.5,2.5,0.2,40,160,2.5,45,190,300,200,1.8,20,600,3,Vegetarian,Breakfast,Female
Sprout Salad with Vegies and Lemon,150,20,8,4,5,350,20,0,0.5,12,0.2,0.3,3,0.2,40,120,3,25,100,250,150,1.5,15,500,2,Vegetarian,Breakfast,Female
Ragi Dosa with Chutney,220,35,6,6,5,150,3,0,0.3,10,0.1,0.2,2,0.2,30,180,1.5,40,160,220,200,1,20,500,2,Vegetarian,Breakfast,Female
Mixed Vegetarianetable Pulao with Raita,350,60,8,10,5,300,5,0,0.5,12,0.3,0.4,2.5,0.3,50,200,3,60,250,350,400,2,30,700,2,Vegetarian,Lunch,Female
Dal Tadka with Jeera Rice,400,60,15,10,6,350,5,0,0.3,8,0.4,0.5,3,0.3,40,180,3.5,70,230,320,300,1.5,25,700,2,Vegetarian,Lunch,Female
Rajma Curry with Brown Rice,450,70,15,12,8,250,5,0,0.4,10,0.3,0.4,3,0.3,50,180,4,60,250,320,250,2,30,750,2,Vegetarian,Lunch,Female
Chicken Curry with Multigrain Roti,500,50,35,18,6,150,7,50,1.5,20,0.4,0.5,5,0.3,70,250,3,70,300,450,380,2.2,35,900,1,Non-Vegetarian,Lunch,Female
Paneer Bhurji with Roti,450,50,20,22,5,500,5,0,0.6,15,0.3,0.4,3,0.3,40,220,2.5,55,250,350,300,2,20,700,2,Vegetarian,Lunch,Female
Methi Paratha with Curd and Pickle,350,50,8,12,5,400,7,0,0.5,14,0.3,0.4,2.5,0.3,45,200,2.2,50,230,350,350,2.1,25,850,2,Vegetarian,Lunch,Female
Soya Chunks Curry with Rice,400,50,25,12,8,150,5,0,0.3,8,0.3,0.5,3.5,0.2,60,220,3,70,250,350,300,2,35,800,2,Vegetarian,Lunch,Female
Fish Curry with Quinoa,500,45,30,20,7,200,6,50,1.5,15,0.4,0.6,4.5,0.3,80,250,3.5,75,300,400,350,2.5,40,900,2,Non-Vegetarian,Lunch,Female
Chole with Plain Paratha,450,70,15,12,7,300,5,0,0.4,12,0.3,0.4,3,0.3,50,180,3.5,65,240,330,280,2.2,30,750,2,Vegetarian,Lunch,Female
Egg Curry with Steamed Rice,500,60,25,18,6,200,5,100,1,15,0.3,0.4,4.5,0.3,60,250,4,75,320,420,400,2.5,35,950,2,Non-Vegetarian,Lunch,Female
Vegetarianetable Khichdi with Ghee,350,55,10,12,7,350,5,0,0.5,10,0.3,0.4,3.5,0.2,50,200,3,60,250,300,250,2.2,30,700,2,Vegetarian,Dinner,Female
Paneer Tikka with Roti,450,40,20,20,5,400,5,0,0.6,15,0.3,0.4,3,0.3,70,220,3,50,220,330,300,2.1,25,600,2,Vegetarian,Dinner,Female
Masoor Dal with Brown Rice,400,60,18,10,8,300,5,0,0.4,8,0.3,0.4,3.5,0.3,50,220,3.5,65,250,350,300,1.5,30,750,2,Vegetarian,Dinner,Female
Mixed Dal with Roti and Salad,400,55,15,12,6,300,7,0,0.5,10,0.3,0.4,3,0.3,40,200,3,50,220,300,250,2,25,650,2,Vegetarian,Dinner,Female
Tandoori Chicken with Mixed Vegetariangie Salad,450,20,35,18,5,150,6,100,1,15,0.4,0.5,4,0.3,60,250,3.5,70,300,450,380,2.5,40,1000,1,Non-Vegetarian,Dinner,Female
Bhindi Sabzi with Dal and Rice,400,55,12,12,8,250,6,0,0.4,10,0.2,0.3,3,0.2,40,180,2.5,50,220,300,250,1.8,25,600,2,Vegetarian,Dinner,Female
Palak Paneer with Phulka,450,40,20,18,5,500,6,0,0.5,20,0.3,0.4,3.5,0.3,70,200,3,60,240,350,300,2.2,25,700,2,Vegetarian,Dinner,Female
Methi Thepla with Curd,350,45,12,10,5,400,7,0,0.6,15,0.3,0.4,3,0.3,40,180,3,55,220,300,250,2,30,750,2,Vegetarian,Dinner,Female
Vegetarianetable Stew with Appam,350,55,6,10,7,250,5,0,0.3,12,0.2,0.3,2.5,0.3,50,200,2.5,50,220,300,250,1.7,20,600,2,Vegetarian,Dinner,Female
Baked Fish with Sautéed Greens,450,30,35,18,6,300,6,100,1.2,15,0.4,0.5,4.5,0.3,80,250,3.5,75,300,400,350,2.5,40,900,2,Non-Vegetarian,Dinner,Female
Peanut Butter on Whole-Grain Toast with Banana,290,45,9,9,5,66,9,0,2,9,0.1,0.1,2,0.2,32,62,1.9,50,100,362,306,0.9,0,0,14,Veg,Breakfast,Male
Full-Fat Greek Yogurt with Honey and Granola,268,26,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Veg,Breakfast,Male
Cheese Omelet with Whole-Wheat Toast,400,30,20,25,2,500,0,80,1,2,0.2,0.3,2,0.1,20,300,2.5,30,250,200,500,2,0,0,2,Non-Veg,Breakfast,Male
"Smoothie with Whole Milk, Peanut Butter, and Oats",450,50,15,20,5,300,5,100,3,5,0.3,0.4,3,0.2,50,200,3,60,300,500,150,2,0,0,20,Veg,Breakfast,Male
Vegetable and Cheese Sandwich,350,40,15,15,5,1000,20,100,2,50,0.3,0.4,3,0.2,50,300,3,50,200,500,600,2,0,0,5,Veg,Breakfast,Male
Scrambled Eggs with Sausage and Toast,500,30,25,35,2,600,0,100,1,2,0.2,0.3,2,0.1,20,200,3,30,250,300,800,2,0,0,2,Non-Veg,Breakfast,Male
Sweet Potato Pancakes with Maple Syrup,400,60,5,15,5,10000,20,0,1,5,0.2,0.3,2,0.2,20,100,2,50,200,500,300,1,0,0,20,Veg,Breakfast,Male
Multigrain Bagel with Cream Cheese,350,50,10,15,5,500,0,50,1,2,0.2,0.3,2,0.1,20,100,2,30,200,400,500,1,0,0,5,Veg,Breakfast,Male
Avocado Toast with Poached Eggs,400,30,15,25,7,1000,10,100,3,20,0.3,0.4,3,0.2,50,100,2,50,300,500,400,2,0,0,2,Veg,Breakfast,Male
Banana Walnut Pancakes,500,70,10,20,5,1000,10,0,1,5,0.2,0.3,2,0.2,20,100,2,50,200,400,300,1,0,0,20,Veg,Breakfast,Male
Grilled Chicken Caesar Salad with Olive Oil Dressing,450,10,30,35,5,600,10,100,5,50,0.2,0.3,6,0.4,50,200,3.5,40,300,700,800,2.5,50,0,2,Non-Veg,Lunch,Male
Turkey and Cheese Wrap with Hummus,400,30,25,15,5,200,5,50,1,10,0.2,0.3,4,0.3,30,150,2.5,30,200,400,600,1.5,0,0,2,Non-Veg,Lunch,Male
Lentil Curry with Brown Rice,450,70,15,10,10,5000,15,0,2,100,0.3,0.5,5,0.3,100,200,5,50,300,700,400,2,0,0,5,Veg,Lunch,Male
Vegetable Korma with Paratha,550,70,10,20,10,7000,25,0,5,150,0.3,0.4,4,0.2,100,300,6,60,400,800,500,2.5,0,0,5,Veg,Lunch,Male
Fish Tikka with Mint Chutney and Rice,500,50,25,20,5,300,20,200,1,5,0.3,0.4,6,0.2,50,150,2.5,40,300,600,700,1,100,0,2,Non-Veg,Lunch,Male
Paneer Bhurji with Jeera Rice,550,60,20,20,5,2000,10,50,1,20,0.3,0.4,4,0.2,50,300,3,40,300,700,400,1.5,0,0,5,Veg,Lunch,Male
Spaghetti with Meatballs and Parmesan,600,70,25,20,5,200,5,100,1,10,0.3,0.4,5,0.3,30,200,3,50,300,500,800,2,0,0,10,Non-Veg,Lunch,Male
Grilled Salmon with Quinoa Salad,500,40,30,20,5,300,10,200,2,20,0.3,0.4,6,0.3,50,200,3,50,300,700,500,1,100,0,2,Non-Veg,Lunch,Male
Mutton Keema with Ghee Rice,700,50,30,40,2,300,5,0,1,10,0.3,0.4,6,0.2,50,150,3.5,30,200,500,800,2.5,0,0,2,Non-Veg,Lunch,Male
Eggplant Parmesan with Garlic Bread,600,60,20,25,10,5000,20,50,3,150,0.3,0.4,4,0.2,100,300,5,60,400,700,500,2.5,0,0,5,Veg,Lunch,Male
Butter Garlic Prawns with Mashed Potatoes,450,40,20,25,3,200,10,150,2,10,0.2,0.3,5,0.2,30,100,2.5,30,200,600,500,1.5,80,0,2,Non-Veg,Dinner,Male
Chicken Alfredo Pasta,700,60,30,35,5,200,5,50,1,10,0.3,0.4,6,0.3,30,200,3,50,300,400,700,2,0,0,10,Non-Veg,Dinner,Male
Lamb Stew with Whole-Grain Bread,600,40,25,30,5,300,5,0,1,10,0.2,0.3,6,0.2,50,200,3.5,40,300,500,600,2,0,0,2,Non-Veg,Dinner,Male
Stuffed Bell Peppers with Ground Beef and Rice,550,50,25,20,10,5000,15,50,2,100,0.3,0.4,5,0.2,50,300,5,50,300,700,400,2.5,0,0,5,Non-Veg,Dinner,Male
Spinach and Cheese Lasagna,600,60,20,25,10,7000,20,0,3,150,0.3,0.4,4,0.2,100,300,5,60,400,700,500,2.5,0,0,5,Veg,Dinner,Male
Pork Chops with Mashed Sweet Potatoes,700,50,30,40,5,500,5,50,1,10,0.3,0.4,6,0.3,30,200,3,50,300,500,700,2,0,0,5,Non-Veg,Dinner,Male
Grilled Tuna Steak with Steamed Veggies,500,20,35,15,5,300,10,200,2,20,0.3,0.4,6,0.3,50,200,3,50,300,700,500,2,100,0,2,Non-Veg,Dinner,Male
Chicken Tikka Masala with Butter Naan,650,60,30,30,5,1000,15,50,1,20,0.3,0.4,6,0.3,50,200,3,40,300,500,700,2,0,0,5,Non-Veg,Dinner,Male
Barbecue Ribs with Cornbread,750,50,30,40,5,300,5,0,1,10,0.2,0.3,6,0.2,50,150,3.5,30,200,500,800,2.5,0,0,2,Non-Veg,Dinner,Male
Vegetable Au Gratin with Garlic Bread,600,60,15,25,10,7000,20,0,3,150,0.3,0.4,4,0.2,100,300,5,60,400,700,500,2.5,0,0,5,Veg,Dinner,Male
Spinach and Feta Cheese Omelet,300,5,20,20,2,2000,5,50,1,50,0.2,0.3,5,0.2,30,200,2.5,30,200,400,300,1.5,0,0,0,Veg,Breakfast,Female
Berry Smoothie with Almond Butter,250,25,10,10,5,1000,30,0,5,20,0.2,0.3,3,0.2,30,150,2,30,200,500,100,1,100,0,15,Veg,Breakfast,Female
Chia Seed Pudding with Fruits and Nuts,350,30,10,15,10,2000,10,0,5,30,0.3,0.4,4,0.2,50,200,3,40,300,700,200,2,300,100,5,Veg,Breakfast,Female
Whole-Wheat Waffles with Yogurt and Honey,400,60,10,10,5,200,5,50,1,10,0.2,0.3,3,0.2,20,150,1.5,20,200,400,200,1,0,0,20,Veg,Breakfast,Female
Cottage Cheese with Fresh Pineapple,250,20,15,10,2,500,20,50,1,10,0.2,0.3,3,0.2,30,150,1.5,20,200,300,200,1,0,0,10,Veg,Breakfast,Female
Mixed Nut and Fruit Bowl with Milk,350,35,10,15,8,1500,20,0,5,30,0.3,0.4,4,0.2,50,200,2.5,40,300,700,100,1.5,200,50,15,Veg,Breakfast,Female
Scrambled Eggs with Spinach on Rye Toast,300,20,15,15,5,2000,5,50,1,50,0.2,0.3,5,0.2,30,200,2.5,30,200,500,300,1.5,0,0,2,Veg,Breakfast,Female
Muesli with Whole Milk and Dates,400,60,10,10,10,500,5,50,1,20,0.2,0.3,3,0.2,30,150,2,20,200,400,200,1,0,0,20,Veg,Breakfast,Female
Pumpkin Spice Pancakes,350,50,10,10,5,3000,15,0,2,20,0.2,0.3,3,0.2,30,150,2,20,200,400,200,1,0,0,15,Veg,Breakfast,Female
Smashed Avocado with Cottage Cheese on Toast,350,25,15,20,5,2000,10,50,2,50,0.2,0.3,5,0.2,30,200,2.5,30,200,500,300,1.5,0,0,2,Veg,Breakfast,Female
Grilled Salmon Salad with Avocado,400,10,30,25,5,300,10,200,2,20,0.2,0.3,6,0.2,50,200,2.5,30,200,500,300,1.5,100,0,2,Non-Veg,Lunch,Female
Chicken and Spinach Wrap,350,40,20,10,5,2000,10,50,1,50,0.2,0.3,5,0.2,30,200,2.5,30,200,500,300,1.5,0,0,2,Non-Veg,Lunch,Female
Vegetable Pasta with White Sauce,450,60,15,15,5,3000,10,0,3,100,0.3,0.4,4,0.2,50,300,5,60,400,700,500,2.5,0,0,5,Veg,Lunch,Female
Rajma Quinoa Bowl with Veggies,400,50,15,10,10,5000,20,0,5,150,0.3,0.4,4,0.2,100,300,5,60,400,700,500,2.5,0,0,5,Veg,Lunch,Female
Tofu Stir-Fry with Brown Rice,400,50,15,10,5,300,15,0,2,20,0.2,0.3,4,0.2,50,200,3,40,300,500,400,1.5,0,0,5,Veg,Lunch,Female
Baked Sweet Potato with Chickpeas & Tahini,350,45,10,10,8,5000,15,0,2,50,0.2,0.3,4,0.2,100,200,3,50,300,700,400,1.5,0,0,5,Veg,Lunch,Female
Vegetable and Paneer Curry with Millets,450,50,15,15,10,7000,15,0,3,100,0.3,0.4,4,0.2,100,300,5,60,400,700,500,2.5,0,0,5,Veg,Lunch,Female
Shrimp and Avocado Rice Bowl,400,50,20,10,5,300,15,200,2,20,0.2,0.3,6,0.2,50,200,2.5,30,200,500,300,1.5,100,0,5,Non-Veg,Lunch,Female
Roasted Beet Salad with Feta Cheese,300,30,10,10,5,5000,15,0,2,50,0.2,0.3,4,0.2,100,200,3,50,300,700,400,1.5,0,0,10,Veg,Lunch,Female
Spinach and Ricotta Stuffed Ravioli,400,50,15,10,5,7000,15,0,3,100,0.3,0.4,4,0.2,100,300,5,60,400,700,500,2.5,0,0,5,Veg,Lunch,Female
Grilled Vegetable Lasagna,450,50,15,15,8,7000,20,0,3,150,0.3,0.4,4,0.2,100,300,5,60,400,700,500,2.5,0,0,5,Veg,Dinner,Female
Lemon Herb Chicken with Steamed Asparagus,400,10,30,20,5,300,10,200,2,20,0.2,0.3,6,0.2,50,200,2.5,30,200,500,300,1.5,100,0,2,Non-Veg,Dinner,Female
Coconut Fish Curry with Red Rice,450,50,20,15,5,300,15,200,3,20,0.2,0.3,6,0.2,50,200,2.5,30,200,500,300,1.5,100,0,5,Non-Veg,Dinner,Female
Vegetable and Lentil Soup with Breadsticks,350,45,15,10,10,5000,15,0,3,150,0.3,0.4,4,0.2,100,300,5,60,400,700,500,2.5,0,0,5,Veg,Dinner,Female
Prawn and Spinach Risotto,450,50,20,15,5,300,15,200,2,20,0.2,0.3,6,0.2,50,200,2.5,30,200,500,300,1.5,100,0,5,Non-Veg,Dinner,Female
Paneer Korma with Whole Wheat Naan,500,60,15,20,10,7000,20,0,3,150,0.3,0.4,4,0.2,100,300,5,60,400,700,500,2.5,0,0,5,Veg,Dinner,Female
Chicken and Broccoli Stir-Fry with Jasmine Rice,400,50,25,10,5,300,15,200,2,20,0.2,0.3,6,0.2,50,200,2.5,30,200,500,300,1.5,100,0,5,Non-Veg,Dinner,Female
Eggplant Bharta with Roti,400,50,10,15,8,5000,20,0,3,150,0.3,0.4,4,0.2,100,300,5,60,400,700,500,2.5,0,0,5,Veg,Dinner,Female
Roasted Cauliflower Steaks with Cheese Sauce,350,20,15,20,8,5000,15,0,3,150,0.3,0.4,4,0.2,100,300,5,60,400,700,500,2.5,0,0,2,Veg,Dinner,Female
Baked Chicken Wings with Potato Wedges,500,45,25,20,5,300,10,200,2,20,0.2,0.3,6,0.2,50,200,2.5,30,200,500,300,1.5,100,0,2,Non-Veg,Dinner,Female
Moong Dal Chilla with Mint Chutney,200,25,12,5,4,300,4,0,0.3,8,0.2,0.3,3,0.2,50,100,2,40,150,250,200,1.8,20,500,1,Vegetarian,Breakfast,Male
Vegetarianetable Upma with Minimal Oil,250,45,8,5,5,200,3,0,0.2,7,0.2,0.2,2.5,0.2,40,80,1.8,30,120,200,150,1.5,15,450,2,Vegetarian,Breakfast,Male
Masala Oats with Vegies,280,40,10,8,6,300,6,0,0.4,10,0.3,0.3,3,0.3,50,120,2,50,200,300,250,2,25,500,2,Vegetarian,Breakfast,Male
Idli with Sambhar,300,50,10,5,4,250,5,0,0.2,9,0.2,0.3,2.5,0.2,40,100,2,30,180,300,200,1.8,20,400,2,Vegetarian,Breakfast,Male
Ragi Porridge with Nuts,280,35,8,10,5,350,6,0,0.5,10,0.3,0.3,3.5,0.3,60,120,2.5,40,200,250,200,2,30,500,3,Vegetarian,Breakfast,Male
Egg Bhurji with Whole-Grain Toast,350,30,18,15,4,200,2,100,0.8,8,0.4,0.5,4,0.4,70,150,2,50,200,300,250,2.5,35,700,2,Non-Vegetarian,Breakfast,Male
Poha with Vegetables,250,40,6,8,5,200,4,0,0.2,7,0.2,0.3,2.5,0.2,30,80,2,30,150,200,150,1.5,15,400,2,Vegetarian,Breakfast,Male
Spinach and Mushroom Omelet,320,10,20,22,4,400,6,100,0.8,12,0.4,0.5,4,0.3,60,150,2.5,50,200,300,250,2.2,35,700,1,Non-Vegetarian,Breakfast,Male
Dalia with Mixed Vegies,300,45,10,5,6,250,5,0,0.3,8,0.2,0.3,2.5,0.2,40,100,2,40,150,250,200,1.8,20,450,2,Vegetarian,Breakfast,Male
"Smoothie with Spinach, Cucumber, Ginger",180,30,4,5,4,500,8,0,0.2,20,0.2,0.3,2.5,0.2,50,120,2,30,150,200,150,1.5,10,300,5,Vegetarian,Breakfast,Male
Vegetarianetable Dal Khichdi,320,55,10,6,8,400,7,0,0.3,10,0.3,0.4,2.5,0.3,60,100,3,60,150,300,200,2,25,400,2,Vegetarian,Lunch,Male
Tandoori Chicken with Salad,400,10,35,20,4,300,5,100,0.8,9,0.4,0.5,3.5,0.5,50,150,2.5,40,200,350,250,2.5,50,800,1,Non-Vegetarian,Lunch,Male
Palak Dal with Brown Rice,350,50,12,8,7,500,10,0,0.4,12,0.4,0.4,3,0.4,70,120,3.5,60,180,300,220,2,25,400,2,Vegetarian,Lunch,Male
Grilled Fish with Mixed Vegetables,350,10,30,20,4,400,6,100,0.7,10,0.3,0.5,4,0.3,50,150,2,40,200,300,200,2.5,40,700,1,Non-Vegetarian,Lunch,Male
Chicken Soup with Vegetables,250,15,25,8,3,300,6,100,0.6,8,0.3,0.4,3.5,0.3,50,100,2.5,40,150,250,200,2,30,600,1,Non-Vegetarian,Lunch,Male
Stir-Fried Tofu with Bell Peppers,300,25,12,18,5,450,10,0,0.6,15,0.4,0.4,3,0.4,70,150,3,60,180,300,220,2.2,25,400,3,Vegetarian,Lunch,Male
Mixed Lentil Dal with Steamed Rice,350,55,12,6,8,400,7,0,0.3,10,0.3,0.4,2.5,0.3,60,120,3,50,200,300,220,2,25,400,2,Vegetarian,Lunch,Male
Bhindi Sabzi with Small Portion of Rice,300,40,8,8,6,300,5,0,0.3,8,0.2,0.3,2.5,0.3,50,100,2,40,150,200,180,1.8,15,350,1,Vegetarian,Lunch,Male
Methi Dal with Roti,350,45,12,8,7,500,10,0,0.4,12,0.4,0.4,3,0.4,70,120,3.5,60,180,300,220,2,25,400,2,Vegetarian,Lunch,Male
Paneer Tikka with Vegetariangie Salad,320,12,18,20,4,450,8,0,0.7,10,0.3,0.4,3,0.3,60,150,2.5,50,200,300,250,2.5,25,500,1,Vegetarian,Lunch,Male
Cabbage and Carrot Soup,150,12,4,4,3,400,8,0,0.3,10,0.2,0.2,1.5,0.2,40,50,1.5,25,80,150,180,1,10,150,1,Vegetarian,Dinner,Male
Grilled Fish with Steamed Vegies,300,8,30,15,4,500,7,120,0.6,12,0.3,0.4,4,0.3,50,150,2,40,200,300,200,2.5,40,700,1,Non-Vegetarian,Dinner,Male
Chicken Salad with Mixed Greens,250,10,28,10,3,350,9,100,0.5,10,0.3,0.3,3.5,0.3,40,120,2,35,160,300,200,2,35,600,1,Non-Vegetarian,Dinner,Male
Tofu Stir-Fry with Bell Peppers,280,22,14,16,5,450,11,0,0.7,18,0.4,0.4,3,0.4,70,150,3,60,180,300,220,2.2,25,400,2,Vegetarian,Dinner,Male
Mushroom and Capsicum Curry with Phulka,300,35,10,10,4,300,5,0,0.3,8,0.2,0.3,2.5,0.2,50,100,2.5,40,150,200,180,1.8,15,350,1,Vegetarian,Dinner,Male
